UTC,ISO8601,Weekday,Open,Highest,Lowest,Closing,Volume
1573257600000,2019-11-08T19:00:00,Friday,8773.74,8880.0,8724.88,8809.41,29469.481405000002
1573344000000,2019-11-09T19:00:00,Saturday,8809.18,9147.19,8750.0,9039.47,34422.029797
1573430400000,2019-11-10T19:00:00,Sunday,9040.16,9072.32,8618.68,8733.27,44888.053544999995
1573516800000,2019-11-11T19:00:00,Monday,8733.36,8888.0,8567.6,8821.94,40366.629471
1573603200000,2019-11-12T19:00:00,Tuesday,8821.91,8844.99,8702.0,8777.12,26810.116918
1573689600000,2019-11-13T19:00:00,Wednesday,8777.54,8800.0,8582.6,8646.68,33468.468961
1573776000000,2019-11-14T19:00:00,Thursday,8646.38,8790.0,8400.0,8471.73,46087.417751
1573862400000,2019-11-15T19:00:00,Friday,8471.62,8543.0,8400.0,8491.02,20902.299752000003
1573948800000,2019-11-16T19:00:00,Saturday,8490.74,8635.0,8350.68,8502.4,27009.037082
1574035200000,2019-11-17T19:00:00,Sunday,8502.87,8503.52,8060.0,8187.17,43017.69094
1574121600000,2019-11-18T19:00:00,Monday,8186.5,8218.63,8003.0,8133.64,43556.061025
1574208000000,2019-11-19T19:00:00,Tuesday,8133.83,8264.29,8038.4,8098.01,32466.23098
1574294400000,2019-11-20T19:00:00,Wednesday,8098.56,8134.73,7500.0,7627.74,58418.780261
1574380800000,2019-11-21T19:00:00,Thursday,7627.79,7750.0,6790.0,7268.23,126603.14025899999
1574467200000,2019-11-22T19:00:00,Friday,7268.23,7344.48,7080.01,7311.57,50449.894755
1574553600000,2019-11-23T19:00:00,Saturday,7311.1,7330.39,6861.0,6903.28,67890.206483
1574640000000,2019-11-24T19:00:00,Sunday,6900.23,7377.69,6515.0,7109.57,119645.735197
1574726400000,2019-11-25T19:00:00,Monday,7109.99,7340.0,7017.48,7156.14,65722.39769
1574812800000,2019-11-26T19:00:00,Tuesday,7154.75,7655.0,6840.0,7508.52,92452.87349
1574899200000,2019-11-27T19:00:00,Wednesday,7507.9,7643.0,7360.0,7419.49,56933.981109
1574985600000,2019-11-28T19:00:00,Thursday,7418.52,7850.0,7362.3,7739.68,60745.300873
1575072000000,2019-11-29T19:00:00,Friday,7740.99,7810.0,7441.0,7541.89,46989.433619
1575158400000,2019-11-30T19:00:00,Saturday,7540.63,7541.85,7210.0,7390.89,60769.342313
1575244800000,2019-12-01T19:00:00,Sunday,7391.5,7420.56,7151.1,7294.28,46330.25604
1575331200000,2019-12-02T19:00:00,Monday,7294.42,7400.0,7241.35,7292.71,33149.477487000004
1575417600000,2019-12-03T19:00:00,Tuesday,7292.71,7750.0,7067.0,7194.32,83147.149142
1575504000000,2019-12-04T19:00:00,Wednesday,7194.59,7485.0,7150.0,7389.0,59306.678855
1575590400000,2019-12-05T19:00:00,Thursday,7389.0,7590.03,7305.0,7527.47,48189.087944
1575676800000,2019-12-06T19:00:00,Friday,7527.8,7619.62,7470.16,7488.21,31498.684173
